Correspondence between the short and original species names from:
	/Users/quyen/KaSim/models/CMSB2017_tool_paper/multisite_phos/e4/network_e4_without_symmetries.net
s78	: E(s!1).S(p1~U,p2~P!2,p3~P,p4~U!1).F(s!2)
s79	: E(s!1).S(p1~U,p2~P!2,p3~U!1,p4~P).F(s!2)
s80	: E(s!1).S(p1~U!1,p2~P!2,p3~U!3,p4~P).F(s!2).E(s!3)
s81	: S(p1~U,p2~P!1,p3~P,p4~P).F(s!1)
s82	: E(s!1).S(p1~U!1,p2~P!2,p3~P,p4~P).F(s!2)
s83	: S(p1~U,p2~P,p3~P,p4~P)
s84	: S(p1~U,p2~P!1,p3~P!2,p4~P).F(s!2).F(s!1)
s85	: S(p1~U,p2~P!1,p3~P,p4~P!2).F(s!2).F(s!1)
s86	: E(s!1).S(p1~U!1,p2~P!2,p3~P,p4~P!3).F(s!3).F(s!2)
s87	: S(p1~U,p2~P!1,p3~P!2,p4~P!3).F(s!2).F(s!3).F(s!1)
s88	: E(s!1).S(p1~U!1,p2~P!2,p3~P!3,p4~P!4).F(s!4).F(s!3).F(s!2)
s89	: S(p1~P,p2~P!1,p3~P!2,p4~P!3).F(s!2).F(s!3).F(s!1)
s90	: E(s!1).S(p1~U!1,p2~P,p3~P!2,p4~P!3).F(s!2).F(s!3)
s91	: E(s!1).S(p1~U!1,p2~U,p3~P!2,p4~P!3).F(s!2).F(s!3)
s92	: E(s!1).S(p1~U!1,p2~P!2,p3~U,p4~P!3).F(s!2).F(s!3)
s93	: E(s!1).S(p1~U!1,p2~P!2,p3~P!3,p4~P).F(s!2).F(s!3)
s94	: E(s!1).S(p1~U!1,p2~P!2,p3~P!3,p4~U).F(s!2).F(s!3)
s95	: S(p1~P,p2~P!1,p3~P!2,p4~U).F(s!1).F(s!2)
s96	: E(s!1).S(p1~U!1,p2~U,p3~P!2,p4~U).F(s!2)
s97	: E(s!1).S(p1~U!1,p2~P!2,p3~P,p4~U).F(s!2)
s98	: E(s!1).S(p1~U!1,p2~P!2,p3~U,p4~U).F(s!2)
s99	: E(s!1).S(p1~U!2,p2~P!3,p3~P!4,p4~U!1).F(s!3).E(s!2).F(s!4)
s100	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~U!1).F(s!2).F(s!3)
s101	: E(s!1).S(p1~U!2,p2~P!3,p3~P,p4~U!1).F(s!3).E(s!2)
s102	: E(s!1).S(p1~U!2,p2~P!3,p3~U,p4~U!1).F(s!3).E(s!2)
s103	: E(s!1).S(p1~P,p2~P!2,p3~U,p4~U!1).F(s!2)
s104	: E(s!1).S(p1~U!1,p2~P!2,p3~U,p4~P).F(s!2)
s105	: S(p1~P,p2~P!1,p3~U,p4~P).F(s!1)
s106	: S(p1~P!1,p2~P!2,p3~U,p4~P).F(s!1).F(s!2)
s107	: S(p1~P,p2~P,p3~U,p4~P)
s108	: S(p1~P,p2~U,p3~U,p4~P)
s109	: E(s!1).S(p1~P,p2~P!2,p3~U!1,p4~P).F(s!2)
s110	: S(p1~P,p2~P!1,p3~U,p4~P!2).F(s!2).F(s!1)
s111	: S(p1~P!1,p2~P!2,p3~U,p4~P!3).F(s!1).F(s!3).F(s!2)
s112	: S(p1~P,p2~P,p3~U,p4~P!1).F(s!1)
s113	: S(p1~P,p2~U,p3~U,p4~P!1).F(s!1)
s114	: E(s!1).S(p1~P,p2~P!2,p3~U!1,p4~P!3).F(s!3).F(s!2)
s115	: S(p1~P,p2~P!1,p3~U,p4~U).F(s!1)
s116	: S(p1~P!1,p2~P!2,p3~U,p4~U).F(s!1).F(s!2)
s117	: S(p1~P,p2~P,p3~U,p4~U)
s118	: S(p1~P,p2~U,p3~U,p4~U)
s119	: E(s!1).S(p1~P,p2~P!2,p3~U!1,p4~U).F(s!2)
s120	: E(s!1).S(p1~P!2,p2~P!3,p3~U!1,p4~U).F(s!2).F(s!3)
s121	: E(s!1).S(p1~P,p2~P,p3~U!1,p4~U)
s122	: E(s!1).S(p1~P,p2~U,p3~U!1,p4~U)
s123	: S(p1~P,p2~P!1,p3~P,p4~U).F(s!1)
s124	: E(s!1).S(p1~P,p2~P!2,p3~U!3,p4~U!1).F(s!2).E(s!3)
s125	: E(s!1).S(p1~P!2,p2~P!3,p3~U!4,p4~U!1).F(s!2).E(s!4).F(s!3)
s126	: E(s!1).S(p1~P,p2~P,p3~U!2,p4~U!1).E(s!2)
s127	: E(s!1).S(p1~P,p2~U,p3~U!2,p4~U!1).E(s!2)
s128	: E(s!1).S(p1~P,p2~P!2,p3~P,p4~U!1).F(s!2)
s129	: E(s!1).S(p1~P!2,p2~P!3,p3~P,p4~U!1).F(s!2).F(s!3)
s130	: E(s!1).S(p1~P,p2~P,p3~P,p4~U!1)
s131	: E(s!1).S(p1~P,p2~U,p3~P,p4~U!1)
s132	: S(p1~P,p2~P!1,p3~P,p4~P).F(s!1)
s133	: S(p1~P!1,p2~P!2,p3~P,p4~P).F(s!1).F(s!2)
s134	: S(p1~P,p2~P,p3~P,p4~P)
s135	: S(p1~P,p2~U,p3~P,p4~P)
s136	: S(p1~P,p2~P!1,p3~P!2,p4~P).F(s!2).F(s!1)
s137	: S(p1~P,p2~P!1,p3~P,p4~P!2).F(s!2).F(s!1)
s138	: S(p1~P!1,p2~P!2,p3~P,p4~P!3).F(s!1).F(s!3).F(s!2)
s139	: S(p1~P,p2~P,p3~P,p4~P!1).F(s!1)
s140	: S(p1~P,p2~U,p3~P,p4~P!1).F(s!1)
