# time 'damage' 'apurinic' 'uracil' 'correct' 'UDG_sliding'
 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 0.000000E+00
 3.789071E-04 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 1.000000E-01
 3.937958E-03 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 1.000000E-01
 8.832887E-03 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 2.000000E-01
 1.060003E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 2.000000E-01
 1.117471E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 3.000000E-01
 1.205934E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 3.000000E-01
 1.310083E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 3.000000E-01
 1.323319E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 3.000000E-01
 1.665290E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 3.000000E-01
 1.884434E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 3.000000E-01
 1.938997E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 1.995381E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 2.027748E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 2.473457E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 2.538676E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 2.672765E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 2.721321E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 2.812264E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 2.858512E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 3.004305E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 3.035224E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 3.362656E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 3.408800E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 3.432028E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 3.478854E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 3.641376E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 3.695364E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 3.850114E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 3.945205E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 4.117683E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 4.000000E-01
 4.156779E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 5.000000E-01
 4.355976E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 5.000000E-01
 4.370877E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 5.000000E-01
 4.515450E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 5.000000E-01
 4.566234E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 5.000000E-01
 4.689013E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 5.000000E-01
 4.755301E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 5.000000E-01
 4.854189E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 5.000000E-01
 4.902988E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 5.000000E-01
 4.918543E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 5.000000E-01
 4.975192E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 5.000000E-01
 5.077510E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.199003E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 7.000000E-01
 5.208994E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 7.000000E-01
 5.266012E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.404641E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.420211E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.475880E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.580521E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.645459E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.694566E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.696075E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.697372E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.776750E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.836712E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.875088E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.907043E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 5.952991E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
 6.120748E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.000000E+00 6.000000E-01
