Correspondence between the short and original species names from:
	/Users/quyen/KaSim/models/CMSB2017_tool_paper/multisite_phos/network_e4_with_fsym.net
s51	: S(p1~P,p2~P,p3~P,p4~P)
s52	: S(p1~P!1,p2~P,p3~P,p4~P).F(s!1)
s53	: S(p1~P!1,p2~P,p3~P!2,p4~P!3).F(s!1).F(s!3).F(s!2)
s54	: S(p1~P,p2~P!1,p3~P!2,p4~P!3).F(s!1).F(s!3).F(s!2)
s55	: S(p1~P!1,p2~P!2,p3~P!3,p4~P!4).F(s!1).F(s!4).F(s!3).F(s!2)
s56	: S(p1~P!1,p2~P!2,p3~P!3,p4~U).F(s!1).F(s!3).F(s!2)
s57	: S(p1~P!1,p2~P!2,p3~U,p4~U).F(s!1).F(s!2)
s58	: E(s!1).S(p1~P!2,p2~P!3,p3~P!4,p4~U!1).F(s!2).F(s!4).F(s!3)
s59	: E(s!1).S(p1~P!2,p2~P!3,p3~U,p4~U!1).F(s!2).F(s!3)
s60	: E(s!1).S(p1~P!2,p2~P,p3~U,p4~U!1).F(s!2)
s61	: E(s!1).S(p1~P!2,p2~U,p3~U,p4~U!1).F(s!2)
s62	: E(s!1).S(p1~P!2,p2~P!3,p3~U!4,p4~U!1).F(s!2).E(s!4).F(s!3)
s63	: E(s!1).S(p1~P,p2~P!2,p3~U!3,p4~U!1).F(s!2).E(s!3)
s64	: E(s!1).S(p1~U,p2~P!2,p3~U!3,p4~U!1).F(s!2).E(s!3)
s65	: E(s!1).S(p1~P!2,p2~P,p3~U!3,p4~U!1).F(s!2).E(s!3)
s66	: E(s!1).S(p1~P!2,p2~U,p3~U!3,p4~U!1).F(s!2).E(s!3)
s67	: E(s!1).S(p1~P,p2~U,p3~U!2,p4~U!1).E(s!2)
s68	: E(s!1).S(p1~P!2,p2~U!3,p3~U!4,p4~U!1).F(s!2).E(s!4).E(s!3)
s69	: E(s!1).S(p1~P,p2~U!2,p3~U!1,p4~U!3).E(s!3).E(s!2)
s70	: E(s!1).S(p1~U,p2~U!2,p3~U!1,p4~U!3).E(s!3).E(s!2)
s71	: E(s!1).S(p1~U!1,p2~U!2,p3~U!3,p4~U!4).E(s!4).E(s!3).E(s!2)
s72	: E(s!1).S(p1~U!1,p2~U,p3~U!2,p4~U!3).E(s!3).E(s!2)
s73	: E(s!1).S(p1~U!1,p2~P,p3~U!2,p4~U!3).E(s!3).E(s!2)
s74	: E(s!1).S(p1~P,p2~P,p3~U!2,p4~U!1).E(s!2)
s75	: E(s!1).S(p1~P,p2~U,p3~U,p4~U!1)
s76	: S(p1~P,p2~U,p3~U,p4~U)
s77	: S(p1~P!1,p2~U,p3~U,p4~U).F(s!1)
s78	: E(s!1).S(p1~P!2,p2~P,p3~P,p4~U!1).F(s!2)
s79	: S(p1~P!1,p2~P,p3~P,p4~U).F(s!1)
s80	: S(p1~P!1,p2~P,p3~U,p4~U).F(s!1)
s81	: S(p1~P,p2~P!1,p3~U,p4~U).F(s!1)
