Correspondence between the short and original species names from:
	/Users/quyen/KaSim/models/CMSB2017_tool_paper/multisite_phos/network_e5_wo_sym.net

s0	: S(p1~U,p2~U,p3~U,p4~U,p5~U)
s1	: F(s)
s2	: E(s)
s3	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~U)
s4	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~U)
s5	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~U)
s6	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~U)
s7	: E(s!1).S(p1~U,p2~U,p3~U,p4~U,p5~U!1)
s8	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~U!2).E(s!2)
s9	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~U!2).E(s!2)
s10	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~U!2).E(s!2)
s11	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~U!2).E(s!2)
s12	: S(p1~U,p2~U,p3~U,p4~U,p5~P)
s13	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~P)
s14	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~P)
s15	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~P)
s16	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~P)
s17	: S(p1~U,p2~U,p3~U,p4~U,p5~P!1).F(s!1)
s18	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~P!2).F(s!2)
s19	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~P!2).F(s!2)
s20	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~P!2).F(s!2)
s21	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~P!2).F(s!2)
s22	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U!2,p5~P!3).F(s!3).E(s!2)
s23	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U!2,p5~P!3).F(s!3).E(s!2)
