Correspondence between the short and original species names from:
	/Users/quyen/KaSim/models/CMSB2017_tool_paper/multisite_phos/network_e6_wo_sym.net

s0	: S(p1~U,p2~U,p3~U,p4~U,p5~U,p6~U)
s1	: F(s)
s2	: E(s)
s3	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~U,p6~U)
s4	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~U,p6~U)
s5	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~U,p6~U)
s6	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~U,p6~U)
s7	: E(s!1).S(p1~U,p2~U,p3~U,p4~U,p5~U!1,p6~U)
s8	: E(s!1).S(p1~U,p2~U,p3~U,p4~U,p5~U,p6~U!1)
s9	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~U,p6~U!2).E(s!2)
s10	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~U,p6~U!2).E(s!2)
s11	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~U,p6~U!2).E(s!2)
s12	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~U,p6~U!2).E(s!2)
s13	: E(s!1).S(p1~U,p2~U,p3~U,p4~U,p5~U!1,p6~U!2).E(s!2)
s14	: S(p1~U,p2~U,p3~U,p4~U,p5~U,p6~P)
s15	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~U,p6~P)
s16	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~U,p6~P)
s17	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~U,p6~P)
s18	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~U,p6~P)
s19	: E(s!1).S(p1~U,p2~U,p3~U,p4~U,p5~U!1,p6~P)
s20	: S(p1~U,p2~U,p3~U,p4~U,p5~U,p6~P!1).F(s!1)
s21	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~U,p6~P!2).F(s!2)
s22	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~U,p6~P!2).F(s!2)
s23	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~U,p6~P!2).F(s!2)
s24	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~U,p6~P!2).F(s!2)
s25	: E(s!1).S(p1~U,p2~U,p3~U,p4~U,p5~U!1,p6~P!2).F(s!2)
s26	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~U!2,p6~P!3).F(s!3).E(s!2)
s27	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~U!2,p6~P!3).F(s!3).E(s!2)
s28	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~U!2,p6~P!3).F(s!3).E(s!2)
s29	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~U!2,p6~P!3).F(s!3).E(s!2)
s30	: S(p1~U,p2~U,p3~U,p4~U,p5~P,p6~P!1).F(s!1)
s31	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~P,p6~P!2).F(s!2)
s32	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~P,p6~P!2).F(s!2)
s33	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~P,p6~P!2).F(s!2)
s34	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~P,p6~P!2).F(s!2)
s35	: S(p1~U,p2~U,p3~U,p4~U,p5~P!1,p6~P!2).F(s!1).F(s!2)
s36	: S(p1~U,p2~U,p3~U,p4~U,p5~P,p6~P)
s37	: S(p1~U,p2~U,p3~U,p4~U,p5~P,p6~U)
s38	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~P,p6~U)
s39	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~P,p6~U)
s40	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~P,p6~U)
s41	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~P,p6~U)
s42	: S(p1~U,p2~U,p3~U,p4~U,p5~P!1,p6~U).F(s!1)
s43	: E(s!1).S(p1~U,p2~U,p3~U,p4~U,p5~P,p6~U!1)
s44	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~P,p6~U!2).E(s!2)
s45	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~P,p6~U!2).E(s!2)
s46	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~P,p6~U!2).E(s!2)
s47	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~P,p6~U!2).E(s!2)
