Correspondence between the short and original species names from:
	/Users/quyen/KaSim/models/CMSB2017_tool_paper/multisite_phos/network_e9_with_fsym.net
s51	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~P,p7~P!2,p8~P!3,p9~U!1).F(s!3).F(s!2)
s52	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~P!2,p7~P!3,p8~P!4,p9~U!1).F(s!4).F(s!3).F(s!2)
s53	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P!2,p6~P!3,p7~P!4,p8~P!5,p9~U!1).F(s!5).F(s!4).F(s!3).F(s!2)
s54	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~P!2,p7~P!3,p8~U,p9~U!1).F(s!3).F(s!2)
s55	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P!2,p6~P!3,p7~P!4,p8~U,p9~U!1).F(s!4).F(s!3).F(s!2)
s56	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~P!2,p7~P!3,p8~U!4,p9~U!1).F(s!2).E(s!4).F(s!3)
s57	: S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~P!1,p7~P!2,p8~U,p9~U).F(s!2).F(s!1)
s58	: S(p1~P,p2~P,p3~P,p4~P,p5~P!1,p6~P!2,p7~P!3,p8~U,p9~U).F(s!3).F(s!2).F(s!1)
s59	: S(p1~P,p2~P,p3~P,p4~P!1,p5~P!2,p6~P!3,p7~P!4,p8~U,p9~U).F(s!4).F(s!3).F(s!2).F(s!1)
s60	: S(p1~P,p2~P,p3~P,p4~P,p5~P!1,p6~P!2,p7~U,p8~U,p9~U).F(s!2).F(s!1)
s61	: S(p1~P,p2~P,p3~P,p4~P!1,p5~P!2,p6~P!3,p7~U,p8~U,p9~U).F(s!3).F(s!2).F(s!1)
s62	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P!2,p6~P!3,p7~U,p8~U,p9~U!1).F(s!3).F(s!2)
s63	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~P!3,p6~P!4,p7~U,p8~U,p9~U!1).F(s!4).F(s!3).F(s!2)
s64	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P!2,p6~P!3,p7~U,p8~U!1,p9~U!4).F(s!3).E(s!4).F(s!2)
s65	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~P!3,p6~P!4,p7~U,p8~U!1,p9~U!5).F(s!4).E(s!5).F(s!3).F(s!2)
s66	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~P!2,p7~U,p8~U!3,p9~U!1).F(s!2).E(s!3)
s67	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P!2,p6~U,p7~U,p8~U!1,p9~U!3).F(s!2).E(s!3)
s68	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P!2,p6~P!3,p7~U!4,p8~U!5,p9~U!1).F(s!2).E(s!5).F(s!3).E(s!4)
s69	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~P!3,p6~P!4,p7~U!1,p8~U!5,p9~U!6).F(s!4).E(s!6).F(s!3).F(s!2).E(s!5)
s70	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~P!2,p7~U!3,p8~U!4,p9~U!1).F(s!2).E(s!4).E(s!3)
s71	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P!2,p6~U,p7~U!1,p8~U!3,p9~U!4).F(s!2).E(s!4).E(s!3)
s72	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~P!3,p6~U,p7~U!1,p8~U!4,p9~U!5).F(s!3).E(s!5).F(s!2).E(s!4)
s73	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~U,p7~U!1,p8~U!2,p9~U!3).E(s!3).E(s!2)
s74	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~U,p6~U,p7~U!1,p8~U!2,p9~U!3).E(s!3).E(s!2)
s75	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P!2,p6~U!3,p7~U!4,p8~U!5,p9~U!1).F(s!2).E(s!5).E(s!4).E(s!3)
s76	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~P!3,p6~U!1,p7~U!4,p8~U!5,p9~U!6).F(s!3).E(s!6).F(s!2).E(s!5).E(s!4)
s77	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~U!2,p7~U!1,p8~U!3,p9~U!4).E(s!4).E(s!3).E(s!2)
