# Output of 'KaSim' 'essai.ka' -seed 757727998
# "uuid" : "927185018"
"[T]","'=-2'","'=-1'","'=0'","'=1'","'=2'","'>=-2'","'>=-1'","'>=0'","'>=1'","'>=2'","'<=-2'","'<=-1'","'<=0'","'<=1'","'<=2'"
313.,51,27,16,14,29,137,86,59,43,29,51,78,94,108,137
314.,47,32,25,13,27,144,97,65,40,27,47,79,104,117,144
315.,58,29,17,18,30,152,94,65,48,30,58,87,104,122,152
316.,39,39,16,9,26,129,90,51,35,26,39,78,94,103,129
317.,41,30,21,17,21,130,89,59,38,21,41,71,92,109,130
318.,46,28,20,7,27,128,82,54,34,27,46,74,94,101,128
319.,48,27,21,6,28,130,82,55,34,28,48,75,96,102,130
320.,45,35,21,14,25,140,95,60,39,25,45,80,101,115,140
321.,52,26,24,13,22,137,85,59,35,22,52,78,102,115,137
322.,41,30,20,11,25,127,86,56,36,25,41,71,91,102,127
323.,51,29,15,11,32,138,87,58,43,32,51,80,95,106,138
324.,43,30,17,14,23,127,84,54,37,23,43,73,90,104,127
325.,51,40,14,12,21,138,87,47,33,21,51,91,105,117,138
326.,49,33,22,14,25,143,94,61,39,25,49,82,104,118,143
327.,47,34,23,17,26,147,100,66,43,26,47,81,104,121,147
328.,54,34,25,18,33,164,110,76,51,33,54,88,113,131,164
329.,54,24,35,16,34,163,109,85,50,34,54,78,113,129,163
330.,53,33,19,15,28,148,95,62,43,28,53,86,105,120,148
331.,38,25,19,12,29,123,85,60,41,29,38,63,82,94,123
332.,54,36,15,11,23,139,85,49,34,23,54,90,105,116,139
333.,38,37,20,13,22,130,92,55,35,22,38,75,95,108,130
334.,46,29,18,10,24,127,81,52,34,24,46,75,93,103,127
335.,42,40,16,12,22,132,90,50,34,22,42,82,98,110,132
336.,38,28,14,13,24,117,79,51,37,24,38,66,80,93,117
337.,43,22,23,10,24,122,79,57,34,24,43,65,88,98,122
338.,60,36,22,10,22,150,90,54,32,22,60,96,118,128,150
339.,52,34,22,13,25,146,94,60,38,25,52,86,108,121,146
340.,45,33,25,21,35,159,114,81,56,35,45,78,103,124,159
341.,44,37,30,17,32,160,116,79,49,32,44,81,111,128,160
342.,40,30,16,9,32,127,87,57,41,32,40,70,86,95,127
343.,38,30,20,12,23,123,85,55,35,23,38,68,88,100,123
344.,51,20,22,8,24,125,74,54,32,24,51,71,93,101,125
345.,55,30,18,13,24,140,85,55,37,24,55,85,103,116,140
346.,54,34,11,11,14,124,70,36,25,14,54,88,99,110,124
347.,37,42,18,12,22,131,94,52,34,22,37,79,97,109,131
348.,34,28,23,17,28,130,96,68,45,28,34,62,85,102,130
349.,52,24,17,8,23,124,72,48,31,23,52,76,93,101,124
350.,49,39,19,13,23,143,94,55,36,23,49,88,107,120,143
351.,48,40,14,11,28,141,93,53,39,28,48,88,102,113,141
352.,50,29,24,15,25,143,93,64,40,25,50,79,103,118,143
353.,38,32,23,14,34,141,103,71,48,34,38,70,93,107,141
354.,49,31,19,16,30,145,96,65,46,30,49,80,99,115,145
355.,46,24,18,16,39,143,97,73,55,39,46,70,88,104,143
356.,43,24,21,12,29,129,86,62,41,29,43,67,88,100,129
357.,41,31,19,11,25,127,86,55,36,25,41,72,91,102,127
358.,51,29,22,15,29,146,95,66,44,29,51,80,102,117,146
359.,35,38,27,10,25,135,100,62,35,25,35,73,100,110,135
360.,56,24,23,16,26,145,89,65,42,26,56,80,103,119,145
361.,58,28,26,13,31,156,98,70,44,31,58,86,112,125,156
362.,49,33,20,22,26,150,101,68,48,26,49,82,102,124,150
363.,47,34,15,10,35,141,94,60,45,35,47,81,96,106,141
364.,51,36,19,15,35,156,105,69,50,35,51,87,106,121,156
365.,44,37,18,21,21,141,97,60,42,21,44,81,99,120,141
366.,53,34,28,13,25,153,100,66,38,25,53,87,115,128,153
367.,50,39,32,14,28,163,113,74,42,28,50,89,121,135,163
368.,56,33,22,9,41,161,105,72,50,41,56,89,111,120,161
369.,46,37,23,11,30,147,101,64,41,30,46,83,106,117,147
370.,47,32,19,16,34,148,101,69,50,34,47,79,98,114,148
371.,48,25,14,18,29,134,86,61,47,29,48,73,87,105,134
372.,40,28,13,14,20,115,75,47,34,20,40,68,81,95,115
373.,41,27,25,14,25,132,91,64,39,25,41,68,93,107,132
374.,52,22,17,11,25,127,75,53,36,25,52,74,91,102,127
375.,42,34,12,13,28,129,87,53,41,28,42,76,88,101,129
376.,52,22,24,20,22,140,88,66,42,22,52,74,98,118,140
377.,51,28,16,12,33,140,89,61,45,33,51,79,95,107,140
378.,49,28,20,14,25,136,87,59,39,25,49,77,97,111,136
379.,52,43,17,14,21,147,95,52,35,21,52,95,112,126,147
380.,51,40,31,17,21,160,109,69,38,21,51,91,122,139,160
381.,51,34,28,13,31,157,106,72,44,31,51,85,113,126,157
382.,47,34,23,18,28,150,103,69,46,28,47,81,104,122,150
383.,52,32,13,12,31,140,88,56,43,31,52,84,97,109,140
384.,57,31,22,2,39,151,94,63,41,39,57,88,110,112,151
385.,37,34,26,18,23,138,101,67,41,23,37,71,97,115,138
386.,52,27,27,15,33,154,102,75,48,33,52,79,106,121,154
387.,54,41,24,21,32,172,118,77,53,32,54,95,119,140,172
388.,46,35,18,15,38,152,106,71,53,38,46,81,99,114,152
389.,49,29,19,9,34,140,91,62,43,34,49,78,97,106,140
390.,41,23,14,18,24,120,79,56,42,24,41,64,78,96,120
391.,40,41,21,9,18,129,89,48,27,18,40,81,102,111,129
392.,39,28,27,7,19,120,81,53,26,19,39,67,94,101,120
393.,52,19,28,8,23,130,78,59,31,23,52,71,99,107,130
394.,38,33,15,18,23,127,89,56,41,23,38,71,86,104,127
395.,37,30,20,13,26,126,89,59,39,26,37,67,87,100,126
396.,46,29,20,9,24,128,82,53,33,24,46,75,95,104,128
397.,44,28,16,21,21,130,86,58,42,21,44,72,88,109,130
398.,41,33,15,10,28,127,86,53,38,28,41,74,89,99,127
399.,37,28,23,15,23,126,89,61,38,23,37,65,88,103,126
400.,50,34,19,23,23,149,99,65,46,23,50,84,103,126,149
401.,59,31,27,14,39,170,111,80,53,39,59,90,117,131,170
402.,61,37,21,14,35,168,107,70,49,35,61,98,119,133,168
403.,49,24,19,16,32,140,91,67,48,32,49,73,92,108,140
404.,48,30,14,11,29,132,84,54,40,29,48,78,92,103,132
405.,53,23,16,15,18,125,72,49,33,18,53,76,92,107,125
406.,49,27,16,15,19,126,77,50,34,19,49,76,92,107,126
407.,42,31,19,16,19,127,85,54,35,19,42,73,92,108,127
408.,43,28,15,13,23,122,79,51,36,23,43,71,86,99,122
409.,51,30,23,14,22,140,89,59,36,22,51,81,104,118,140
410.,49,32,22,12,24,139,90,58,36,24,49,81,103,115,139
411.,51,32,31,6,30,150,99,67,36,30,51,83,114,120,150
412.,44,41,26,9,27,147,103,62,36,27,44,85,111,120,147
413.,65,32,23,13,35,168,103,71,48,35,65,97,120,133,168
414.,56,29,17,19,41,162,106,77,60,41,56,85,102,121,162
415.,46,39,25,18,28,156,110,71,46,28,46,85,110,128,156
416.,63,32,21,14,36,166,103,71,50,36,63,95,116,130,166
417.,55,31,27,15,38,166,111,80,53,38,55,86,113,128,166
418.,40,22,26,19,31,138,98,76,50,31,40,62,88,107,138
419.,54,30,15,13,37,149,95,65,50,37,54,84,99,112,149
420.,47,32,17,14,19,129,82,50,33,19,47,79,96,110,129
421.,52,25,17,14,18,126,74,49,32,18,52,77,94,108,126
422.,45,36,26,10,22,139,94,58,32,22,45,81,107,117,139
423.,57,47,24,20,29,177,120,73,49,29,57,104,128,148,177
424.,50,31,21,20,26,148,98,67,46,26,50,81,102,122,148
425.,56,23,21,19,22,141,85,62,41,22,56,79,100,119,141
426.,58,32,16,15,25,146,88,56,40,25,58,90,106,121,146
427.,38,38,22,9,21,128,90,52,30,21,38,76,98,107,128
428.,40,28,17,11,18,114,74,46,29,18,40,68,85,96,114
429.,43,28,20,14,24,129,86,58,38,24,43,71,91,105,129
430.,44,31,20,6,31,132,88,57,37,31,44,75,95,101,132
431.,48,27,17,14,21,127,79,52,35,21,48,75,92,106,127
432.,44,30,16,14,26,130,86,56,40,26,44,74,90,104,130
433.,50,38,15,15,26,144,94,56,41,26,50,88,103,118,144
434.,50,24,11,9,26,120,70,46,35,26,50,74,85,94,120
435.,52,22,15,15,24,128,76,54,39,24,52,74,89,104,128
436.,51,21,16,8,20,116,65,44,28,20,51,72,88,96,116
437.,45,29,19,18,27,138,93,64,45,27,45,74,93,111,138
